"","ADPF","Ajuizamento","Assunto"
"78",638,"13/12/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Orçamento"
"79",639,"17/12/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Domínio Público | Bens Públicos | Terreno de Marinha"
"80",640,"18/12/2019","DIREITO PENAL | Crimes Previstos na Legislação Extravagante | Crimes contra o Meio Ambiente e o Patrimônio Genético"
"81",641,"19/12/2019","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Militar | Regime | Anistia Política"
"82",642,"20/12/2019","DIREITO DA SAÚDE
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"83",643,"06/01/2020","DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | Mandato | Convocação de suplente"
"84",644,"08/01/2020","DIREITO ELEITORAL E PROCESSO ELEITORAL DO STF | Mandato | Convocação de suplente"
"85",645,"13/01/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública | Instituições Financeiras | Normatizações"
"86",646,"24/01/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Servidor Público Civil | Sistema Remuneratório e Benefícios | Subteto Salarial"
"87",647,"23/01/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Atos Administrativos | Fiscalização | Competência do Órgão Fiscalizador
                        
                            DIREITO DO TRABALHO | Contrato Individual de Trabalho | Reconhecimento de Relação de Emprego 
                        
                            DIREITO TRIBUTÁRIO | Contribuições | Contribuições Previdenciárias"
"88",648,"03/02/2020","DIREITO DO TRABALHO | Rescisão do Contrato de Trabalho | Despedida / Dispensa Imotivada"
"89",649,"05/02/2020","DIREITO TRIBUTÁRIO | Impostos | ICMS/ Imposto sobre Circulação de Mercadorias"
"90",650,"06/02/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Organização Político-administrativa / Administração Pública"
"91",651,"10/02/2020","DIREITO AMBIENTAL"
"92",652,"10/02/2020","DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução"
"93",653,"14/02/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Agentes Políticos | Ministério Público"
"94",654,"20/02/2020","DIREITO DO TRABALHO | Verbas Remuneratórias, Indenizatórias e Benefícios | Adicional  | Periculosidade"
"95",655,"03/03/2020","DIREITO TRIBUTÁRIO"
"96",656,"03/03/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            DIREITO DA SAÚDE | Pública"
"97",657,"08/03/2020","DIREITO DO TRABALHO | Prescrição
                        
                            DIREITO PROCESSUAL CIVIL E DO TRABALHO | Liquidação / Cumprimento / Execução"
"98",658,"09/03/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"99",659,"23/03/2020","DIREITO DO TRABALHO | Verbas Remuneratórias, Indenizatórias e Benefícios | Salário / Diferença Salarial | Reajuste Salarial
                        
                            DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade"
"100",660,"23/03/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade
                        
                            QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO | COVID-19"
"101",661,"23/03/2020","DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | Controle de Constitucionalidade | Processo Legislativo
                        
                            QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO | COVID-19"
"102",662,"24/03/2020","DIREITO ASSISTENCIAL | Benefício Assistencial (Art. 203,V CF/88)
                        
                            QUESTÕES DE ALTA COMPLEXIDADE, GRANDE IMPACTO E REPERCUSSÃO | COVID-19"
